alpha,beta,coherence,topics,perplexity
0.31,0.61,0.6182115529378125,10,-6.133353999068968
0.31,0.9099999999999999,0.5426260722397183,10,-6.343492534304954
0.31,symmetric,0.4963456059654063,10,-5.947808705848117
0.61,0.01,0.4997527535192333,10,-9.743832704791924
0.61,0.31,0.584159638985384,10,-6.048208011775141
0.61,0.61,0.5104749780808053,10,-6.318509933564661
0.61,0.9099999999999999,0.6207767775066642,10,-6.3116205829221546
0.61,symmetric,0.5600170039733083,10,-5.942500158038072
0.9099999999999999,0.01,0.5639423818585748,10,-9.634814771680453
0.9099999999999999,0.31,0.5567746309783217,10,-6.025106655911535
0.9099999999999999,0.61,0.5522730542516053,10,-6.1317532296853505
0.9099999999999999,0.9099999999999999,0.5667561950139557,10,-6.265708891050007
0.9099999999999999,symmetric,0.5193534915378392,10,-6.015730338953459
symmetric,0.01,0.5298011785819531,10,-9.620837796055943
symmetric,0.31,0.5974642074343681,10,-5.958723296333096
symmetric,0.61,0.569140460148861,10,-6.192700443828392
symmetric,0.9099999999999999,0.5422231034543314,10,-6.285158920444885
symmetric,symmetric,0.5453154236179059,10,-5.877252592513076
asymmetric,0.01,0.5072085803489521,10,-9.706704754735865
asymmetric,0.31,0.5376296424282253,10,-6.153941921991962
asymmetric,0.61,0.5959645076952907,10,-6.204516737456152
asymmetric,0.9099999999999999,0.6101692002773775,10,-6.220677675457191
asymmetric,symmetric,0.5153723786547179,10,-6.010741428366703
0.01,0.01,0.5672723748563939,11,-9.823335383119828
0.01,0.31,0.618296342573747,11,-6.005567797777953
0.01,0.61,0.6066395424782204,11,-6.152639665406511
0.01,0.9099999999999999,0.5893643180293281,11,-6.239142222415242
0.01,symmetric,0.5737113954639983,11,-6.077193871736556
0.31,0.01,0.5714383908003496,11,-9.680209340361742
0.31,0.31,0.5481874728442772,11,-6.1419223193134105
0.31,0.61,0.5190182233124908,11,-6.360922096800431
0.31,0.9099999999999999,0.607485866377478,11,-6.313691672456959
0.31,symmetric,0.5303764686601181,11,-5.973273007961897
0.61,0.01,0.5012130603514625,11,-9.652179947156903
0.61,0.31,0.542527196315029,11,-6.0585812949222975
0.61,0.61,0.5503304765367637,11,-6.204438367711113
0.61,0.9099999999999999,0.491587989306268,11,-6.54445179623581
0.61,symmetric,0.5409657774044394,11,-5.95775425462227
0.9099999999999999,0.01,0.5550469913920354,11,-9.625697672738873
0.9099999999999999,0.31,0.5431453462949025,11,-6.086181345241823
0.9099999999999999,0.61,0.5516188412708083,11,-6.245152791005211
0.9099999999999999,0.9099999999999999,0.5051156543231693,11,-6.348535015845657
